italian,medieval
"Io fui figlio di un macellaio di Parigi: quando i re antichi scomparvero tutti, tranne uno che indossò la tonaca di monaco, io mi trovai stretto in mano il governo del regno, ed ebbi un tale potere per il nuovo acquisto e fui così pieno di amici, che la corona rimasta vacante fu destinata alla testa di mio figlio, da cui ha avuto inizio la dinastia dei Capetingi","Figliuol fu’ io d’un beccaio di Parigi: quando li regi antichi venner meno tutti, fuor ch’un renduto in panni bigi, trova’mi stretto nele mani il freno del governo del regno, e tanta possa di nuovo acquisto,e sì d’amici pieno, ch’a la corona vedova promossa la testa di mio figlio fu, dal quale cominciar di costor le sacrate ossa"
esso stringe e rende coesa la terra,questi la terra in sé stringe e aduna
Si è mai visto un popolo sciocco e frivolo come quello senese,Or fu già mai gente sì vana come la sanese
"infatti, a seconda dello sguardo con cui la fede guardò a Cristo, queste donne formano una linea divisoria che separa le sacre scalinate","perché, secondo lo sguardo che fée la fede in Cristo, queste sono il muro a che si parton le sacre scalee"
volendo in realtà dire 'noi' e 'nostro',quand’era nel concetto e ‘noi’ e ‘nostro’
"Rimpiango ora il mio tempo passato, che ho sciupato amando una cosa mortale senza mai levarmi in volo, pur avendo le ali per innalzarmi a cose più degne e lasciare di me un esempio non vile.","I' vo piangendo i miei passati tempi i quai posi in amar cosa mortale, senza levarmi a volo, abbiend' io l' ale, per dar forse di me non bassi essempi."
"Vivo con queste paure e perennemente in conflitto con me stesso, tanto da non riuscire a riconoscermi più: come chi nel percorrere una strada incerta avanza con timore e compie errori.","In tal paura e 'n sí perpetua guerra vivo, ch' i' non so piú quel che già fui: qual chi per via dubbiosa teme ed erra."
una dolce melodia si diffondeva nell'aria luminosa,E una melodia dolce correva per l’aere luminoso
"L'angelo che venne in Terra col decreto della pace sospirata per tanti anni, e che aprì il Cielo dopo un lungo divieto, sembrava così reale davanti a noi, scolpito in un gesto soave, che non sembrava un'immagine silenziosa","L’angel che venne in terra col decreto  de la molt’anni lagrimata pace,  ch’aperse il ciel del suo lungo divieto,  dinanzi a noi pareva sì verace  quivi intagliato in un atto soave,  che non sembiava imagine che tace"
Vi risponderò in breve,Brievemente sarà risposto a voi
"Quando il movimento rotatorio dei Cieli, che tu rendi eterno col desiderio delle ruote celesti di avvicinarsi a te, attirò la mia attenzione con l'armonia che tu regoli e stabilisci, il cielo mi sembrò a tal punto acceso dalla luce del sole che la pioggia o un fiume non crearono mai un lago tanto ampio","Quando la rota che tu sempiterni desiderato, a sé mi fece atteso con l’armonia che temperi e discerni,parvemi tanto allor del cielo acceso de la fiamma del sol, che pioggia o fiume lago non fece alcun tanto disteso"
ecco perché Romolo discende da un padre tanto umile che lo si attribuisce a Marte,"e vien Quirino da sì vil padre, che si rende a Marte"
"Fratello, il tuo alto desiderio verrà esaudito nell'ultimo Cielo, dove si adempiono tutti i desideri, incluso il mio","Frate, il tuo alto disio s’adempierà in su l’ultima spera, ove s’adempion tutti li altri e ‘l mio"
perché era raffigurata anche colei che girò la chiave per aprire l'alto amore di Dio,perché iv’era imaginata quella  ch’ad aprir l’alto amor volse la chiave
poiché quella croce faceva lampeggiare Cristo in modo tale che io non so trovare un esempio degno per descriverla,"ché quella croce lampeggiava Cristo, sì ch’io non so trovare essempro degno"
"anzi, ne sorrise, al punto che lo splendore dei suoi occhi gioiosi indusse la mia mente a dividersi tra più cose","ma sì se ne rise, che lo splendor de li occhi suoi ridenti mia mente unita in più cose divise"
"Come può essere che un bene, distribuito fra più possessori, renda quelli più ricchi di sé che se fosse goduto da pochi","Com’esser puote ch’un ben, distributo in più posseditor, faccia più ricchi di sé, che se da pochi è posseduto"
"""Cosa fatta capo ha"", che causò tanto male alla gente di Toscana","""Capo ha cosa fatta"", che fu mal seme per la gente tosca"
"chi passa la sua vita senza di essa, lascia sulla Terra una traccia di sé paragonabile al fumo nell'aria e alla schiuma nell'acqua","sanza la qual chi sua vita consuma, cotal vestigio in terra di sé lascia, qual fummo in aere e in acqua la schiuma"
"O toscano, che te ne vai per la città del fuoco parlando in modo così dignitoso, abbi la compiacenza di trattenerti","O Tosco che per la città del foco vivo ten vai così parlando onesto, piacciati di restare in questo loco"
"e si toglievano la scabbia con le unghie come un coltello toglie le squame della scardova, o di un altro pesce che le abbia più larghe","e sì traevan giù l’unghie la scabbia, come coltel di scardova le scaglie o d’altro pesce che più larghe l’abbia"
lui a me:,Ed elli a me:
"Oh, autentico sfolgorio dello Spirito Santo",Oh vero sfavillar del Santo Spiro
"O anima che ti purifichi, per tornare bella a Colui che ti creò, se mi segui sentirai qualcosa di straordinario","O creatura che ti mondi per tornar bella a colui che ti fece, maraviglia udirai, se mi secondi"
"opo che le felicitazioni furono ripetute varie volte, Sordello si tirò indietro e disse:","Poscia che l’accoglienze oneste e liete furo iterate tre e quattro volte, Sordel si trasse, e disse:"
"Dico che quando l'anima dannata si presenta davanti a lui, rende piena confessione","Dico che quando l’anima mal nata li vien dinanzi, tutta si confessa"
"O fratello, costui che ti indico col dito","O frate, questi ch’io ti cerno col dito"
ma la volontà non è in grado di fare tutto,ma non può tutto la virtù che vuole
"Ahimè, quanti dolci pensieri, quanto desiderio portarono questi due al passo doloroso","Oh lasso, quanti dolci pensier, quanto disio menò costoro al doloroso passo"
Ecco l'angelo di Dio: unisci le mani,Ecco l’angel di Dio: piega le mani
Così una voce misteriosa parlava tra i rami,Sì tra le frasche non so chi diceva
"e lei, così lontana come appariva, sorrise e mi guardò, poi tornò all'eterna fonte di beatitudine","e quella, sì lontana come parea, sorrise e riguardommi, poi si tornò a l’etterna fontana"
Chi il mirto?,Qual di mirto?
ma qui non posso tacere,ma qui tacer nol posso
"e la miseria dell'avaro re Mida, che fu la conseguenza della sua richiesta avida e per la quale bisogna sempre sorridere","e la miseria de l’avar oMida, che seguì a la sua dimanda gorda, per la qual sempre convien che si rida"
Una era al centro ed era rossa,"L’una dinanzi, e quella era vermiglia"
allora lo riconobbi e lo pregai di fermarsi un poco a parlarmi,"allor conobbi chi era, e pregai che, per parlarmi, un poco s’arrestasse"
"Quando io sentii quelle anime offese, chinai lo sguardo e lo tenni basso così a lungo che alla fine Virgilio mi disse:","Quand’io intesi quell’anime offense, china’ il viso e tanto il tenni basso, fin che ’l poeta mi disse:"
e mi è gradito che tu dica ciò che la speranza ti promette,ed emmi a grato che tu diche quello che la speranza ti ‘mpromette
"L'essere in piedi ritirò il muso verso le tempie, e della materia in sovrappiù uscirono due orecchie sulle gote che non le avevano","Quel ch’era dritto, il trasse ver’ le tempie, e di troppa matera ch’in là venne uscir li orecchi de le gote scempie"
perciò continua a camminare e ascolta mentre procedi,"però pur va, e in andando ascolta"
"come diventò d'improvviso incandescente ai miei occhi che, vinti, non poterono sostenere lo sguardo","come si fece sùbito e candente a li occhi miei che, vinti, nol soffriro"
"così io vidi quella gloriosa corona di spiriti muoversi e cantare con un'armonia e una melodia così dolce che non la si può capire, se non in Paradiso dove la gioia diventa eterna",così vid’io la gloriosa rota muoversi e render voce a voce in tempra e in dolcezza ch’esser non pò nota se non colà dove gioir s’insempra
non vedi la morte che combatte sul gorgo tempestoso del peccato,non vedi tu la morte che ’l combatte su la fiumana ove ’l mar non ha vanto
"Ma digli chi fosti in vita, così che per rimediare lui possa restaurare la tua fama nel mondo terreno, dove può tornare","Ma dilli chi tu fosti, sì che ’n vece d’alcun’ammenda tua fama rinfreschi nel mondo sù, dove tornar li lece"
"avrei voluto dire a lui 'Abbracciami forte', ma la voce non venne fuori come credevo","sì volli dir, ma la voce non venne com’io credetti: ’Fa che tu m’abbracce’"
e se qualcuno volesse chiedere 'Come,e se volesse alcun dir ‘Come
"Qui la terra trema quando un'anima si sente purificata, cosicché si alza o si muove per salire in alto","Tremaci quando alcuna anima monda sentesi, sì che surga o che si mova per salir sù"
"O Marco mio, tu hai ragione","O Marco mio, bene argomenti"
"questi due siano sani e salvi fino all'altro ponte che, intatto, dà accesso alla prossima Bolgia",costor sian salvi infino a l’altro scheggio che tutto intero va sovra le tane
cercano di proteggersi l'un l'altro coi fianchi,de l’un de’ lati fanno a l’altro schermo
"O regina, perché a causa della tua ira hai voluto distruggerti","O regina, perché per ira hai voluto esser nulla"
Gentucca,Gentucca
"e ho visto una nave procedere rapida e veloce lungo la sua rotta, per poi affondare all'entrata nel porto","e legno vidi già dritto e veloce correr lo mar per tutto suo cammino, perire al fine a l’intrar de la foce"
"Lo devi sapere, se arrivi qui solo adesso: egli è ser Branca Doria, e sono molti anni da quando è finito in questo luogo","Tu ’l dei saper, se tu vien pur mo giuso: elli è ser Branca Doria, e son più anni poscia passati ch’el fu sì racchiuso"
"così starebbe un cane tra due daini:per cui, se io tacevo, non biasimo né lodo me stesso, poiché ciò era inevitabile visto che ero spinto dai miei dubbi allo stesso modo","sì si starebbe un cane intra due dame: per che, s’i’ mi tacea, me non riprendo, da li miei dubbi d’un modo sospinto, poi ch’era necessario, né commendo"
"Madonna, tutto quello che valgo dipende da voi.","Madonna, da voi tegno ed ho 'l valore."
"Se la materia fosse la migliore possibile e il Cielo esercitasse la sua virtù al massimo grado, allora la luce divina apparirebbe in modo perfetto","Se fosse a punto la cera dedutta e fosse il cielo in sua virtù supprema, la luce del suggel parrebbe tutta"
"Io lascio a lui le altre due domande, che non gli sono state poste per conoscere, ma affinché egli riferisca al mondo quanto questa virtù ti aggrada: esse infatti non saranno difficili per lui, né gli daranno occasione di vantarsi","Li altri due punti, che non per sapere son dimandati, ma perch’ei rapporti quanto questa virtù t’è in piacere, a lui lasc’io, ché non li saran forti né di iattanza"
"O Vergine Madre, figlia del tuo stesso Figlio, la più umile e la più alta di tutte le creature, termine fisso della sapienza divina, tu sei quella che ha nobilitato la natura umana a tal punto che il suo Creatore non disdegnò di diventare sua creatura","Vergine Madre, figlia del tuo figlio, umile e alta più che creatura, termine fisso d’etterno consiglio, tu se’ colei che l’umana natura nobilitasti sì, che ‘l suo fattore non disdegnò di farsi sua fattura"
"ma non dissi altro, perché il mio sguardo fu attirato da un dannato, crocifisso a terra e legato a tre pali","ma più non dissi, ch’a l’occhio mi corse un, crucifisso in terra con tre pali"
"e se sollevi lo sguardo, nel terzo gradino della rosa a partire dall'alto, la vedrai nel seggio che i suoi meriti le hanno concesso","e se riguardi sù nel terzo giro dal sommo grado, tu la rivedrai nel trono che suoi merti le sortiro"
"Seguimi e lascia che la gente parli: sta' come una torre salda, che non ondeggia mai la sua cima per quanto i venti soffino","Vien dietro a me, e lascia dir le genti: sta come torre ferma, che non crolla già mai la cima per soffiar di venti"
Io dissi:,Diss’io:
e il profeta Daniele disprezzò il cibo e guadagnò la sapienza,e Daniello dispregiò cibo e acquistò savere
Forse qualcuno è stato sfigurato in tal modo da una paralisi,Forse per forza già di parlasia si travolse così alcun del tutto
"La bontà divina, che disprezza ogni odio, ardendo in se stessa splende in modo tale che emana le bellezze eterne","La divina bontà, che da sé sperne ogne livore, ardendo in sé, sfavilla sì che dispiega le bellezze etterne"
Venivano verso di noi e ognuna gridava:,"Venian ver noi, e ciascuna gridava:"
Ora sappi che lì dentro gode la pace Raab,Or sappi che là entro si tranquilla Raab
"O tu che non sei dannato da alcuna colpa e che io conobbi in Italia, se un'eccessiva somiglianza non mi inganna, ricordati di Pier da Medicina, se mai tornerai a vedere la dolce pianura che digrada da Vercelli a Marcabò","O tu cui colpa non condanna e cu’ io vidi su in terra latina, se troppa simiglianza non m’inganna, rimembriti di Pier da Medicina, se mai torni a veder lo dolce piano che da Vercelli a Marcabò dichina"
"e se tu consideri il principio di ognuno di questi santi e poi osservi come si è evoluta la situazione, vedrai che il bianco è diventato scuro","e se guardi ’l principio di ciascuno, poscia riguardi là dov’è trascorso, tu vederai del bianco fatto bruno"
"Giungemmo poi sul lido deserto, che non vide mai navigare nessuno che poi fosse in grado di tornare indietro","Venimmo poi in sul lito diserto, che mai non vide navicar sue acque omo, che di tornar sia poscia esperto"
"Mentre procedevamo in quel modo lungo l'orlo della Cornice uno dietro l'altro, e spesso Virgilio mi diceva:","Mentre che sì per l’orlo, uno innanzi altro, ce n’andavamo, e spesso il buon maestro diceami:"
Me ne indicò molti altri uno ad uno,Molti altri mi nomò ad uno ad uno
"Mi sento come un uomo che vaneggia: mi sembra di vedere la morte dinanzi a me, vorrei difendermi e non ho armi per combattere.","Che 'n guisa d' uom che sogna, aver la morte inanzi gli occhi parme, e vorrei far difesa, e non ò l' arme."
"Chi sei tu, piuttosto, che cammini per l'Antenòra colpendo le teste degli altri, così che, se io fossi vivo, sarebbe un oltraggio troppo grave","Or tu chi se’ che vai per l’Antenora, percotendo altrui le gote, sì che, se fossi vivo, troppo fora"
"Noi camminavano sulle anime che la pioggia pesante abbatte, e poggiavamo i piedi sui loro corpi inconsistenti, dall'aspetto umano","Noi passavam su per l’ombre che adona la greve pioggia, e ponavam le piante sovra lor vanità che par persona"
E la luna è ormai sotto i nostri piedi: il tempo che ci è concesso è poco e tu devi ancora vedere dell'altro,"E già la luna è sotto i nostri piedi: lo tempo è poco omai che n’è concesso, e altro è da veder che tu non vedi"
Questa loro alterigia non è cosa nuova,Questa lor tracotanza non è nova
"Ora ti dirò la verità e tu riferiscila ai vivi: l'angelo di Dio mi prese, e quello d'Inferno gridava: ""O tu del cielo, perché mi togli ciò che mi spetta""","Io dirò vero e tu ‘l ridì tra’ vivi: l’angel di Dio mi prese, e quel d’inferno gridava: ""O tu del ciel, perché mi privi"""
"Tutte le bellezze sono perfezionate a causa vostra, e ciascuon fiore fiorisce a suo modo il giorno in cui voi vi fate vedere.","Per voi tutte bellezze so' afinate, e ciascun fior fiorisce in sua manera lo giorno quando vo' vi dimostrate."
E la mia guida rispose:,E ’l duca mio a lui:
"poiché fu lì che io entrai nella fede, che rende le anime vicine a Dio, e in seguito san Pietro girò intorno alla mia fronte dopo avermi esaminato su quella virtù","però che ne la fede, che fa conte l’anime a Dio, quivi intra’ io, e poi Pietro per lei sì mi girò la fronte"
Non posso negare quello che mi chiedi,Io non posso negar quel che tu chiedi
"E il maestro, che mi vide così attento, disse:","E ’l duca che mi vide tanto atteso, disse:"
"Io udivo delle voci, e ognuna sembrava pregare per la pace e la misericordia l'Agnello di Dio, che toglie i peccati dal mondo","Io sentia voci, e ciascuna pareva pregar per pace e per misericordia l’Agnel di Dio che le peccata leva"
"Una volta che il sole, con la sua forza, ha tratto fuori dalla pietra ogni impurità, la stella le conferisce la sua proprietà: alla stessa maniera nel cuore, che la natura ha reso eletto, puro e gentile, nasce l'amore per l'influsso della donna, simile all'influsso della stella.","Poi che n'ha tratto fòre per sua forza lo sol ciò che li è vile, stella li dà valore: così lo cor ch'è fatto da natura asletto, pur, gentile, donna a guisa di stella lo 'nnamora."
"O folle Aracne, ti vedevo già mezza tramutata in ragno, triste sugli stracci dell'opera che tu producesti a tuo danno","O folle Aragne, sì vedea io te già mezza ragna, trista in su li stracci de l’opera che mal per te si fé"
infatti a Ubertino Donati non piacque che il suocero lo avesse imparentato con loro,sì che non piacque ad Ubertin Donato che poi il suocero il fé lor parente
"infatti, con la grazia di cui sei oggetto ci fai stupire di una cosa che non è mai avvenuta","ché tu ne fai tanto maravigliar de la tua grazia, quanto vuol cosa che non fu più mai"
"ed essi infiammarono a loro volta l'imperatore, al punto che i miei onori si trasformarono in lutti","e li ’nfiammati infiammar sì Augusto, che ’ lieti onor tornaro in tristi lutti"
"Come colui che ascolta un grande inganno che gli è stato fatto, e poi se ne rammarica, così fece Flegiàs ardendo d'ira","Qual è colui che grande inganno ascolta che li sia fatto, e poi se ne rammarca, fecesi Flegiàs ne l’ira accolta"
"Sono sceso lungo i gradini della scala santa solo per festeggiare la tua presenza, con parole e con la luce che mi avvolge",Giù per li gradi de la scala santa discesi tanto sol per farti festa col dire e con la luce che mi ammanta
"chi è più scellerato di colui che cerca di forzare il giudizio divino, prevedendo il futuro",chi è più scellerato che colui che al giudicio divin passion comporta
"Questi ordini ammirano tutti verso l'alto e attirano a sé il mondo inferiore, cosicché tutti sono attratti da Dio e attraggono a loro volta il mondo a sé","Questi ordini di sù tutti s’ammirano, e di giù vincon sì, che verso Dio tutti tirati sono e tutti tirano"
"Ma non senza il volere del destino, roma, nostra capitale, è ora affidata alle tue braccia che possono scuoterla forte e sollevarla.","Ma non senza destino a le tue braccia, che scuoter forte e sollevarla ponno, è or commesso il nostro capo, roma."
"ora può passare di lì senza timore chiunque non volesse parlare con gli uomini virtuosi o avvicinarsi a loro, per vergogna","or può sicuramente indi passarsi per qualunque lasciasse, per vergogna di ragionar coi buoni o d’appressarsi"
Questo fu l'inizio delle mie sofferenze.,Onde i miei guai nel commune dolor s'incominciaro.
"Costui non baderà alle ricchezze materiali, ma solo a quelle spirituali e la sua nascita avverrà tra feltro e feltro","Questi non ciberà terra né peltro, ma sapïenza, amore e virtute, e sua nazion sarà tra feltro e feltro"
da dove trae origine in voi questa alterigia,ond’esta oltracotanza in voi s’alletta
"Dunque, o lettore, alza lo sguardo con me alle sfere celesti, proprio verso quel punto in cui i due movimenti opposti si intersecano","Leva dunque, lettore, a l’alte rote meco la vista, dritto a quella parte dove l’un moto e l’altro si percuote"
"Noi voltammo le spalle alla triste fossa di Malebolge, lungo l'argine roccioso che la circonda, e procedemmo senza parlare","Noi demmo il dosso al misero vallone su per la ripa che ’l cinge dintorno, attraversando sanza alcun sermone"
"Ma qui la poesia morta risorga, o sante Muse, dal momento che sono consacrato a voi","Ma qui la morta poesì resurga, o sante Muse, poi che vostro sono"
Un giovane uccellino aspetta due o tre colpi,Novo augelletto due o tre aspetta
"Quello che dalle guance fa scendere la barba sulle spalle scure, quando la Grecia fu spopolata di maschi al punto che a malapena ne restavano nelle culle, fu augure e indicò insieme a Calcante il momento propizio in Aulide per far salpare la flotta greca","Quel che da la gota porge la barba in su le spalle brune, fu - quando Grecia fu di maschi vòta, sì ch’a pena rimaser per le cune - augure, e diede ’l punto con Calcanta in Aulide a tagliar la prima fune"
"Lo specchio, che è mio nemico, in cui siete solita guardare i vostri occhi, quegli occhi che amore e il cielo riveriscono, vi fa innamorare mostrandovi le vostre stesse bellezze, dolci e gioiose oltre ogni cosa mortale.","Il mio avversario, in cui veder solete gli occhi vostri, ch' amore e 'l ciel onora, colle non sue bellezze v' innamora, piú che 'n guisa mortal soavi e liete."
"Qui vidi la mia donna così felice, non appena entrò nell'astro di quel Cielo, che il pianeta stesso divenne più lucente","Quivi la donna mia vid’io sì lieta, come nel lume di quel ciel si mise, che più lucente se ne fé ‘l pianeta"
Affinché il verde terreno d'italia si colori del sangue dei barbari?,Perché 'l verde terreno del barbarico sangue si depinga?
"e non vidi mai un garzone atteso dal suo signore, o uno stalliere che veglia malvolentieri, usare la striglia come ognuno di loro usava le unghie su di sé per la smania del pizzicore, che non aveva altro sollievo","e non vidi già mai menare stregghia a ragazzo aspettato dal segnorso, né a colui che mal volontier vegghia, come ciascun menava spesso il morso de l’unghie sopra sé per la gran rabbia del pizzicor, che non ha più soccorso"
"Almeno amore mi darà tanto coraggio di rilevarvi quanti sono stati gli anni dei miei dolori, i giorni e le ore.","Pur mi darà tanta baldanza amore, ch' i' vi discovrirò de' mei martiri qua' sono stati gli anni e i giorni e l'ore."
"così mi riscossi io, non appena il sonno fuggì via dalla mia faccia, e impallidii, come l'uomo spaventato che raggela","che mi scoss’io, sì come da la faccia mi fuggì ‘l sonno, e diventa’ ismorto, come fa l’uom che, spaventato, agghiaccia"
e quel bizzarro spirito fiorentino si mordeva da sé coi denti,e ’l fiorentino spirito bizzarro in sé medesmo si volvea co’ denti
"L'amore torna regolarmente nel cuore d'animo nobile, come l'uccello nel bosco ritorna in mezzo al verde.",Al cor gentil rempaira sempre amore come l'ausello in selva a la verdura.
cominciò a dire Pluto con la voce roca,cominciò Pluto con la voce chioccia
"Ma dimmi, se lo sai, perché poco fa il monte fu scosso dal terremoto e perché sembrò gridare a una voce fino alle sue pendici bagnate dal mare","Ma dimmi, se tu sai, perché tai crolli diè dianzi ‘l monte, e perché tutto ad una parve gridare infino a’ suoi piè molli"
"Qual è la sua colpa, se non crede","ov’è la colpa sua, se ei non crede"
"Se anche tu tacessi o negassi ciò che confessi, la tua colpa non sarebbe meno evidente: la apprendo da un giudice così infallibile","Se tacessi o se negassi ciò che confessi, non fora men nota la colpa tua: da tal giudice sassi"
"Guarda se hai mai visto qualcuno di noi nel mondo, così che tu possa portare sue notizie sulla Terra: suvvia, perché continui a camminare","Guarda s’alcun di noi unqua vedesti, sì che di lui di là novella porti: deh, perché vai"
"Io sentivo intonare 'Osanna' di coro in coro, verso il punto fisso che li tiene e sempre li terrà in quella posizione in cui sempre furono","Io sentiva osannar di coro in coro al punto fisso che li tiene a li ubi, e terrà sempre, ne’ quai sempre fuoro"
"Io fui la radice della pianta maligna che fa ombra a tutta la Cristianità, cosicché raramente se ne colgono buoni frutti","Io fui radice de la mala pianta che la terra cristiana tutta aduggia, sì che buon frutto rado se ne schianta"
"Grazie a te divenni poeta e cristiano: ma affinché tu capisca meglio ciò che dico, aggiungerò altri particolari","Per te poeta fui, per te cristiano: ma perché veggi mei ciò ch’io disegno, a colorare stenderò la mano"
"vedi che a me non dispiace, e tuttavia brucio tra le fiamme","vedi che non incresce a me, e ardo"
"così io vidi muoversi verso di noi la testa di quella schiera di anime fortunate, pudiche nell'aspetto e dignitose nei movimenti","sì vid’io muovere a venir la testa di quella mandra fortunata allotta, pudica in faccia e ne l’andare onesta"
Desidero la morte e chiedo aiuto per continuare a vivere.,E bramo di perir e cheggio aita.
"Il trascorrere del tempo cambia e distrugge boschi, sassi, campagne, fiumi, montagne e ogni cosa creata.","Selve sassi campagne fiumi e poggi, quanto è creato, vince e cangia il tempo."
"ahimè, terra crudele, perché non ci hai inghiottito","ahi dura terra, perché non t’apristi"
aspetta a riposarti qui,quivi di riposar l’affanno aspetta
"Verranno a cozzare in eterno: gli avari risorgeranno dalla tomba col pugno chiuso, i prodighi coi capelli tagliati","In etterno verranno a li due cozzi: questi resurgeranno del sepulcro col pugno chiuso, e questi coi crin mozzi"
Che presunzione hai avuto?,Che presomisti?
"Roma, che costruì il mondo virtuoso, era solita avere due soli, che indicavano entrambe le strade, del mondo e di Dio","Soleva Roma, che ’l buon mondo feo, due soli aver, che l’una e l’altra strada facean vedere, e del mondo e di Deo"
"Durante la mia giovinezza mi piacque così tanto la dolce luce degli occhi di laura che affrontai con piacere ogni difficoltà, pur di avvicinarmi ai rami dell'alloro da me tanto amati.",Tanto mi piacque prima il dolce lume ch' i' passai con diletto assai gran poggi per poter appressar gli amati rami.
Io risposi:,Io rispuosi:
Un uomo superbo per la sua nobiltà di nascita dice,Dis' omo alter
Virgilio iniziò:,Virgilio incominciò:
