italian,dante
Così l'ora del giorno e la stagione primaverile mi davano buoni motivi per sperare bene a proposito di quella belva dalla pelle chiazzata,Sì ch’a bene sperar m’era cagione di quella fiera a la gaetta pelle l’ora del tempo e la dolce stagione
"Ma non al punto che non mi desse paura la vista, che mi apparve subito dopo, di un leone",Ma non sì che paura non mi desse la vista che m’apparve d’un leone
"Questi sembrava venire contro di me, con la testa alta e con fame rabbiosa, al punto che persino l'aria sembrava tremare","Questi parea che contra me venisse con la test’alta e con rabbiosa fame,sì che parea che l’aere ne tremesse"
"Ed ecco apparire una lupa, che nella sua magrezza sembra piena di tutti i desideri e spinse molte persone a vivere miseramente","Ed una lupa, che di tutte brame sembiava carca ne la sua magrezza, e molte genti fé già viver grame"
"Questa mi procurò una tale angoscia, col terrore che mi ispirava il suo aspetto, che persi la speranza di raggiungere la sommità del colle","Questa mi porse tanto di gravezza con la paura ch’uscia di sua vista,ch’io perdei la speranza de l’altezza"
"E come colui che acquista volentieri, e poi arriva il tempo in cui perde ogni cosa, per cui piange e si rattrista in ogni pensiero, così mi rese la belva senza pace, che venendo contro di me mi sospingeva poco a poco verso il basso, dove non c'era il sole","E qual è quei che volentieri acquista, e giugne ’l tempo che perder lo face, che ’n tutti i suoi pensier piange e s’attrista, tal mi fece la bestia sanza pace, che venendomi ’ncontro a poco a poco mi ripigneva là dove ’l sol tace"
"Mentre io scivolavo a valle, verso la foresta, apparve davanti ai miei occhi qualcuno che non riuscivo a vedere bene per la penombra","Mentre ch’i’ rovinava in basso loco, dinanzi agli occhi mi si fu offerto chi per lungo silenzio parea fioco"
"Quando vidi costui nel luogo deserto, gli gridai:","Quando vidi costui nel gran diserto, gridai a lui:"
"Abbi pietà di me, chiunque tu sia, un'anima o un uomo in carne e ossa","Miserere di me, qual che tu sii, od ombra od omo certo"
Mi rispose:,Rispuosemi:
"No, non sono un uomo, lo sono già stato, e i miei genitori furono della lombardia, entrambi nativi di mantova","Non omo, omo già fui, e li parenti miei furon lombardi, mantoani per patria ambedui"
"Nacqui sotto il governo di giulio cesare, anche se negli ultimi anni, e vissi a roma sotto il governo del buon imperatore augusto, al tempo degli dei pagani","Nacqui sub iulio, ancor che fosse tardi, e vissi a roma sotto ’l buono augusto al tempo de li dei falsi e bugiardi"
"Fui poeta, e cantai di quel giusto figlio di anchise fu bruciato","Poeta fui, e cantai di quel giusto figliuol d’anchise che venne di troia poi che il superbo ilïón fu combusto"
"Ma tu, perché ritorni al male della foresta",Ma tu perché ritorni a tanta noia
"Perché non scali il colle gioioso, che è principio e causa di ogni felicità",Perché non sali il dilettoso monte ch’è principio e cagion di tutta gioia
Allora tu sei quel virgilio e quella sorgente che spande un così largo fiume di parole,Or se’ tu quel virgilio e quella fonte che spandi di parlar sì largo fiume
Gli risposi vergognandomi,Rispuos’io lui con vergognosa fronte
"O tu che sei luce e guida degli altri poeti, mi siano di aiuto il lungo impegno e il grande amore che mi hanno spinto a leggere la tua opera","O de li altri poeti onore e lume, vagliami ’l lungo studio e ’l grande amore che m’ha fatto cercar lo tuo volume"
Tu sei il mio maestro e il mio modello,Tu se’ lo mio maestro e ’l mio autore
Tu sei il solo da cui io trassi il bello stile che mi ha reso celebre,Tu se’ solo colui da cu’ io tolsi lo bello stilo che m’ha fatto onore
Vedi la belva che mi ha fatto voltare,Vedi la bestia per cu’ io mi volsi
"Aiutami da lei, famoso sapiente, poiché essa fa tremare ogni goccia del mio sangue","Aiutami da lei, famoso saggio, ch’ella mi fa tremar le vene e i polsi"
"Tu devi compiere un altro viaggio,","A te convien tenere altro viaggio,"
Mi rispose dopo avermi visto piangere,"Rispuose, poi che lagrimar mi vide"
Se vuoi salvarti da questo luogo selvaggio,Se vuo’ campar d’esto loco selvaggio
"Infatti, la belva che ti fa urlare non lascia passare nessuno per la sua strada, ma lo impedisce al punto di ucciderlo","Ché questa bestia, per la qual tu gride, non lascia altrui passar per la sua via, ma tanto lo ’mpedisce che l’uccide"
"E ha un'indole così malvagia e malefica che non può mai soddisfare la sua bramosia, e dopo ogni pasto ha più fame di prima","E ha natura sì malvagia e ria, che mai non empie la bramosa voglia, e dopo ’l pasto ha più fame che pria"
"Sono molti gli animali a cui si accoppia, e saranno sempre di più, finché arriverà il cane da caccia che la farà morire con dolore","Molti son li animali a cui s’ammoglia, e più saranno ancora, infin che ’l veltro verrà, che la farà morir con doglia"
"Costui non baderà alle ricchezze materiali, ma solo a quelle spirituali e la sua nascita avverrà tra feltro e feltro","Questi non ciberà terra né peltro, ma sapïenza, amore e virtute, e sua nazion sarà tra feltro e feltro"
"Sarà la salvezza di quell'umile italia, per cui morirono in battaglia eurialo e niso, turno, la vergine camilla","Di quella umile italia fia salute per cui morì la vergine cammilla, eurìalo e turno e niso di ferute"
"Costui le darà la caccia per ogni città, finché l'avrà rimessa nell'inferno da dove l'invidia la fece uscire per la prima volta","Questi la caccerà per ogne villa, fin che l’avrà rimessa ne lo ’nferno, là onde invidia prima dipartilla"
"Perciò io penso e giudico per il tuo bene che tu debba seguirmi, e io ti farò da guida","Ond’io per lo tuo me’ penso e discerno che tu mi segui, ed io sarò tua guida"
"E ti porterò via di qui per guidarti in un luogo dell'oltretomba, dove udirai le grida disperate e vedrai le antiche anime dei dannati, ciascuno dei quali invoca la morte definitiva","E trarrotti di qui per loco etterno, ove udirai le disperate strida, vedrai li antichi spiriti dolenti, ch’a la seconda morte ciascun grida"
"E poi vedrai coloro che sono contenti di subire pene, perché sperano un giorno di raggiungere i beati del paradiso","E vederai color che son contenti nel foco, perché speran di venire quando che sia a le beate genti"
"E se poi tu vorrai salire a visitare questi ultimi, allora ci sarà un'anima più degna di me per farti da guida: quando me ne andrò, ti lascerò con lei","A le quai poi se tu vorrai salire, anima fia a ciò di me più degna: con lei ti lascerò nel mio partire"
"Infatti, quell'imperatore che regna lassù, non vuole che io entri nella sua città, in quanto fui ribelle alla sua legge","Ché quello imperador che lassù regna, perch’i’ fu’ ribellante a la sua legge, non vuol che ’n sua città per me si vegna"
Ha autorità in tutto l'universo e in paradiso governa,In tutte parti impera e quivi regge
Qui c'è la sua città e il suo altro trono,Quivi è la sua città e l’alto seggio
"Oh, felice colui che sceglie per risiedere in quel luogo",Oh felice colui cu’ ivi elegge
Io gli dissi:,Io a lui:
"Poeta, in nome di quel dio che non hai conosciuto e affinché io fugga questo male e altri peggiori, ti chiedo ti condurmi là dove hai detto, così che io veda la porta di san pietro e coloro che descrivi tanto miseri","Poeta, io ti richeggio per quello dio che tu non conoscesti, a ciò ch’io fugga questo male e peggio, che tu mi meni là dov’or dicesti, sì ch’io veggia la porta di san pietro e color che tu fai cotanto mesti"
"Allora si mise in cammino, e io lo seguii","Allor si mosse, e io li tenni dietro"
"Il giorno era quasi finito, e l'oscurità toglieva gli animali che sono in terra dalle loro fatiche","Lo giorno se n’andava, e l’aere bruno toglieva li animai che sono in terra da le fatiche loro"
"E io ero il solo che mi preparavo ad affrontare un cammino angoscioso e terribile, che la mia mente infallibile descriverà","E io sol unom’apparecchiava a sostener la guerra sì del cammino e sì de la pietate, che ritrarrà la mente che non erra"
"O muse, o alto ingegno poetico, aiutatemi","O muse, o alto ingegno, or m’aiutate"
"O mente, che annotasti quello che hai visto, qui dovrai dare dimostrazione della tua nobiltà","O mente che scrivesti ciò ch’io vidi, qui si parrà la tua nobilitate"
Io cominciai a dire:,Io cominciai:
"Poeta che mi guidi, valuta se la mia virtù è sufficiente, prima di condurmi in questo arduo viaggio","Poeta che mi guidi, guarda la mia virtù s’ell’è possente, prima ch’a l’alto passo tu mi fidi"
"Tu dici che il padre di silvio, ancora in vita, andò nell'aldilà in carne e ossa, con tutto il corpo","Tu dici che di silvio il parente, corruttibile ancora, ad immortale secolo andò, e fu sensibilmente"
"Perciò, se il nemico di ogni male fu cortese verso di lui, l'uomo e i suoi meriti non sembrano indegni a un uomo dotato di intelletto, se si pensa all'alto effetto che doveva essere prodotto da lui","Però, se l’avversario d’ogne male cortese i fu, pensando l’alto effetto ch’uscir dovea di lui e ’l chi e ’l quale,non pare indegno ad omo d’intelletto"
"Infatti egli fu scelto nell'empireo come fondatore della nobile roma e del suo impero:e roma e il suo impero, a dire la verità, furono stabiliti come la santa sede dove risiede il successore del primo papa","Ch’e’ fu de l’alma roma e di suo impero ne l’empireo ciel per padre eletto:la quale e ’l quale, a voler dir lo vero, fu stabilita per lo loco santo u’ siede il successor del maggior piero"
"Grazie a questo viaggio che tu narri, enea sentì cose che lo portarono poi alla vittoria e produssero il manto papale","Per quest’andata onde li dai tu vanto, intese cose che furon cagione di sua vittoria e del papale ammanto"
"Vi andò poi, per rendere salda quella fede che è principio alla via della salvezza","Andovvi poi lo vas d’elezione, per recarne conforto a quella fede ch’è principio a la via di salvazione"
Ma io perché dovrei andarci,Ma io perché venirvi
Chi lo concede,O chi ’l concede
"Io non sono enea, né san paolo","Io non enea, io non paulo sono"
Né io né nessun altro mi ritiene all'altezza di questo compito,Me degno a ciò né io né altri ’l crede
"Perciò, se accetto di seguirti, temo che il mio viaggio sia una follia","Per che, se del venire io m’abbandono, temo che la venuta non sia folle"
"Sei saggio, comprendi meglio di come io possa spiegare","Se’ savio, intendi me’ ch’i’ non ragiono"
"E come colui che non vuole più ciò che voleva, e cambia idea a causa di nuovi pensieri, cosicché recede totalmente dai suoi propositi, così divenni io in quei luoghi oscuri, perché pensandoci sopra posi fine all'impresa che fu così rapida all'inizio","E qual è quei che disvuol ciò che volle e per novi pensier cangia proposta, sì che dal cominciar tutto si tolle,tal mi fec’io ’n quella oscura costa, perché, pensando, consumai la ’mpresa che fu nel cominciar cotanto tosta"
L'ombra di quel nobile uomo rispose così:,Rispuose del magnanimo quell’ombra:
"Se io ho capito bene le tue parole, la tua anima è vittima di viltà","S’i’ ho ben la parola tua intesa, l’anima tua è da viltade offesa"
"La quale molte volte opprime l'uomo e lo fa desistere da un'impresa onorevole, proprio come una falsa immagine fa imbizzarrire una bestia quando si adombra","La qual molte fiate l’omo ingombra sì che d’onrata impresa lo rivolve, come falso veder bestia quand’ombra"
"Affinché tu ti liberi da questi timori, ti dirò perché sono venuto qui e quello che sentii nel primo momento che provai per te dolore","Da questa tema acciò che tu ti solve, dirotti perch’io venni e quel ch’io ’ntesi nel primo punto che di te mi dolve"
"Io ero tra le anime sospese del limbo, e mi chiamò una donna tanto beata e tanto bella che le chiesi di comandarmi","Io era tra color che son sospesi, e donna mi chiamò beata e bella, tal che di comandare io la richiesi"
I suoi occhi erano più lucenti di una stella e lei iniziò a parlarmi con tono dolce e soave,Lucevan li occhi suoi più che la stella e cominciommi a dir soave e piana
"Con una voce che sembrava il linguaggio di un angelo: ""o nobile anima mantovana, di cui la fama ancora perdura nel mondo e durerà tanto quanto il mondo, colui che mi amò in modo disinteressato sul pendio deserto di un colle è impedito a tal punto che si è voltato indietro per paura""","Con angelica voce, in sua favella: ""o anima cortese mantoana, di cui la fama ancor nel mondo dura, e durerà quanto ’l mondo lontana,l’amico mio, e non de la ventura, ne la diserta piaggia è impedito sì nel cammin, che volt’è per paura"""
"E temo che sia già smarrito a tal punto che io mi sono mossa troppo tardi per soccorrerlo, per quello che ho sentito su di lui in cielo","E temo che non sia già sì smarrito, ch’io mi sia tardi al soccorso levata, per quel ch’i’ ho di lui nel cielo udito"
"Ora muoviti, e con la tua parola elegante, e con ciò che è necessario per la sua salvezza, aiutalo in modo che io ne sia consolata","Or movi, e con la tua parola ornata e con ciò c’ha mestieri al suo campare l’aiuta, sì ch’i’ ne sia consolata"
Io che ti faccio andare sono beatrice,I’ son beatrice che ti faccio andare
Vengo da dove desidero tornare,Vegno del loco ove tornar disio
L'amore mi ha fatto venire qui a parlarti,"Amor mi mosse, che mi fa parlare"
"Quando sarò davanti a dio, spesso loderò il tuo nome","Quando sarò dinanzi al segnor mio, di te mi loderò sovente a lui"
"Allora tacque e io risposi: ""o donna virtuosa, l'unica per cui la specie umana si eleva al di sopra di tutto ciò che si trova sotto il cielo della luna, la tua richiesta mi trova così d'accordo che se anche avessi giù ubbidito sarebbe tardi""","Tacette allora, e poi comincia’ io: ""o donna di virtù, sola per cui l’umana spezie eccede ogne contento di quel ciel c’ha minor li cerchi sui,tanto m’aggrada il tuo comandamento, che l’ubidir, se già fosse, m’è tardi"""
Non devi fare altro che dirmi quello che vuoi,Più non t’è uo' ch'aprirmi il tuo talento
"Ma dimmi il motivo per cui non hai timore nello scendere quaggiù, all'inferno, dal luogo più ampio dove desideri tornare",Ma dimmi la cagion che non ti guardi de lo scender qua giuso in questo centro de l’ampio loco ove tornar tu ardi
"Lei mi rispose: ""poiché vuoi maggiori dettagli, ti spiegherò in breve il motivo per cui non temo di venire qua dentro""","""da che tu vuo’ saver cotanto a dentro, dirotti brievemente"", mi rispuose, ""perch’io non temo di venir qua entro"""
Si devono temere soltanto quelle cose che hanno il potere di fare male agli altri,Temer si dee di sole quelle cose c’hanno potenza di fare altrui male
"Le altre no, poiché non sono spaventose","De l’altre no, ché non son paurose"
"Io sono resa da dio, bontà sua, tale che la vostra miseria non mi tocca e nessuna fiamma dell'inferno può danneggiarmi","I’ son fatta da dio, sua mercé, tale, che la vostra miseria non mi tange, né fiamma d’esto incendio non m’assale"
"Nel cielo c'è una donna nobile che si duole di questo impedimento per il quale chiedo il tuo aiuto, così che infrange il duro giudizio divino","Donna è gentil nel ciel che si compiange di questo ’mpedimento ov’io ti mando, sì che duro giudicio là sù frange"
Costei chiese di parlare a lucia e le disse: - ora il tuo fedele ha bisogno di te e io a te lo raccomando -,"Questa chiese lucia in suo dimando e disse: - or ha bisogno il tuo fedele di te, e io a te lo raccomando -"
"Lucia, nemica di ogni uomo crudele, si mosse e venne là dove io ero, seduta accanto all'antica rachele","Lucia, nimica di ciascun crudele, si mosse, e venne al loco dov’i’ era, che mi sedea con l’antica rachele"
"Mi disse: - beatrice, autentica lode di dio, perché non soccorri colui che ti amò al punto da elevarsi al di sopra della schiera volgare","Disse: - beatrice, loda di dio vera, ché‚ non soccorri quei che t’amò tanto, ch’uscì per te de la volgare schiera"
Non senti l'angoscia del suo pianto,Non odi tu la pieta del suo pianto
Non vedi la morte che combatte sul gorgo tempestoso del peccato,Non vedi tu la morte che ’l combatte su la fiumana ove ’l mar non ha vanto
"Al mondo non ci furono mai persone tanto rapide a perseguire il loro vantaggio o a fuggire il loro danno, quanto io, dopo aver udito quelle parole, venni quaggiù dal mio scanno celeste, affidandomi alle tue parole nobili che onorano te e quelli che le hanno udite""","Al mondo non fur mai persone ratte a far lor pro o a fuggir lor danno, com’io, dopo cotai parole fatte,venni qua giù del mio beato scanno, fidandomi del tuo parlare onesto, ch’onora te e quei ch’udito l’hanno"""
"Dopo che mi ebbe detto questo, girò gli occhi che brillavano per il pianto","Poscia che m’ebbe ragionato questo, li occhi lucenti lagrimando volse"
Il che mi indusse a venire più presto,Per che mi fece del venir più presto
E venni da te come lei volle,E venni a te così com’ella volse
Ti soccorsi da quella belva che ti impedì una facile ascesa al colle,D’inanzi a quella fiera ti levai che del bel monte il corto andar ti tolse
Allora che c'è,Dunque: che è
"Perché, perché resti qui","Perché, perché restai"
Perché coltivi in cuore tanta viltà,Perché tanta viltà nel core allette
Perché non hai coraggio e determinazione,Perché ardire e franchezza non hai
Visto che queste tre donne benedette si preoccupano per te nella corte celeste e le mie parole ti promettono ogni bene,"Poscia che tai tre donne benedette curan di te ne la corte del cielo, e ’l mio parlar tanto ben ti promette"
"Come dei fiorellini chiusi e rivolti in basso dal gelo notturno si drizzano tutti aperti sul loro stelo, dopo che il sole li ha illuminati, così feci io con la mia stanca virtù, e al cuore mi venne tanto coraggio che iniziai a dire, come persona rinfrancata","Quali fioretti dal notturno gelo chinati e chiusi, poi che ’l sol li ’mbianca si drizzan tutti aperti in loro stelo,tal mi fec’io di mia virtude stanca, e tanto buono ardire al cor mi corse, ch’i’ cominciai come persona franca:"
Oh donna pietosa che mi soccorse,Oh pietosa colei che mi soccorse
E tu cortese che obbedisti subito alle parole autentiche che ti disse,E te cortese ch’ubidisti tosto a le vere parole che ti porse
"Tu, con le tue parole, mi hai disposto il cuore al desiderio di venire, al punto che che sono tornato al primo proposito","Tu m’hai con disiderio il cor disposto sì al venir con le parole tue, ch’i’ son tornato nel primo proposto"
"Adesso va, poiché entrambi vogliamo la stessa cosa: tu sei la mia guida, il mio signore, il mio maestro","Or va, ch’un sol volere è d’ambedue: tu duca, tu segnore, e tu maestro"
Così gli dissi,Così li dissi
E dopo che si fu messo in cammino intrapresi il percorso arduo e selvaggio,"E poi che mosso fue, intrai per lo cammino alto e silvestro"
"Attraverso me si entra nella città del dolore, attraverso me si va nel dolore eterno, attraverso me si va tra le anime perdute","Per me si va ne la città dolente, per me si va ne l’etterno dolore, per me si va tra la perduta gente"
"La giustizia ha fatto agire il mio alto creatore: mi hanno costruito la potestà divina, la somma sapienza e il primo amore","Giustizia mosse il mio alto fattore: fecemi la divina podestate, la somma sapienza e ’l primo amore"
"Prima di me non fu creato nulla, se non eterno, e io durerò eternamente","Dinanzi a me non fuor cose create se non etterne, e io etterno duro"
"Lasciate ogni speranza, voi che entrate qui","Lasciate ogne speranza, voi ch’intrate"
Io vidi queste parole scritte con colore oscuro in cima a una porta,Queste parole di colore oscuro vid’io scritte al sommo d’una porta
Per cui dissi:,Per ch’io:
"Maestro, non ne capisco il senso","Maestro, il senso lor m’è duro"
"Ed egli mi rispose, come persona saggia","Ed elli a me, come persona accorta:"
Qui è necessario abbandonare ogni esitazione,Qui si convien lasciare ogne sospetto
Non bisogna essere vili,Ogne viltà convien che qui sia morta
"Noi siamo giunti nel luogo dove, come ti ho detto, vedrai le anime dannate che hanno perduto la luce dell'intelligenza divina",Noi siam venuti al loco ov’i’ t’ho detto che tu vedrai le genti dolorose c’hanno perduto il ben de l’intelletto
"E dopo che mi ebbe preso per mano, con volto sorridente che mi confortò, mi fece entrare in quel luogo separato dal mondo dei vivi","E poi che la sua mano a la mia puose con lieto volto, ond’io mi confortai, mi mise dentro a le segrete cose"
"Qui sospiri, pianti e alti lamenti risuonavano in quell'aria priva di stelle, in modo tale che all'inizio ne piansi","Quivi sospiri, pianti e alti guai risonavan per l’aere sanza stelle, per ch’io al cominciar ne lagrimai"
"Lingue strane, pronunce orribili, parole di dolore, imprecazioni d'ira, voci acute e flebili, e un suono di mani insieme ad esse creavano un frastuono, che rimbomba di continuo in quell'aria eternamente oscura, proprio come la sabbia quando soffia la tempesta","Diverse lingue, orribili favelle, parole di dolore, accenti d’ira, voci alte e fioche, e suon di man con elle  facevano un tumulto, il qual s’aggira sempre in quell’aura sanza tempo tinta, come la rena quando turbo spira"
"E io, che avevo la testa piena di dubbi, dissi:","E io ch’avea d’error la testa cinta, dissi:"
"Maestro, che cos'è quello che sento","Maestro, che è quel ch’i’ odo"
E chi sono costoro che sembrano così sopraffatti dal dolore,E che gent’è che par nel duol sì vinta
Ui mi rispose:,Ed elli a me:
Questa è la misera condizione delle anime tristi di quelli che vissero senza infamia e senza meriti,Questo misero modo tegnon l’anime triste di coloro che visser sanza ’nfamia e sanza lodo
"Sono mescolate a quell'insieme spregevole degli angeli che non si ribellarono a dio, né gli rimasero fedeli, ma furono neutrali","Mischiate sono a quel cattivo coro de li angeli che non furon ribelli né fur fedeli a dio, ma per sé fuoro"
"I cieli li cacciano per non perdere la loro bellezza, né l'inferno li accoglie nelle sue profondità, poiché i dannati potrebbero ricevere alcuna gloria dalla loro presenza","Caccianli i ciel per non esser men belli, né lo profondo inferno li riceve, ch’alcuna gloria i rei avrebber d’elli"
E io:,E io:
"Maestro, che cosa è tanto fastidioso per loro, da farli lamentare così forte","Maestro, che è tanto greve a lor, che lamentar li fa sì forte"
Mi rispose:,Rispuose:
Te lo dirò molto brevemente,Dicerolti molto breve
"Queste anime non possono sperare di morire, e la loro attuale condizione è tanto spregevole che invidiano qualunque altra sorte","Questi non hanno speranza di morte e la lor cieca vita è tanto bassa, che ’nvidiosi son d’ogne altra sorte"
Il mondo non lascia che ci sia di loro alcun ricordo,Fama di loro il mondo esser non lassa
La misericordia e la giustizia divina li sdegnano,Misericordia e giustizia li sdegna
"Non perdiamo tempo a parlare di loro, ma da' una rapida occhiata e passa oltre","Non ragioniam di lor, ma guarda e passa"
"E io, guardando, vidi una insegna che, girando su se stessa, correva tanto rapidamente che mi sembrava non dovesse fermarsi mai","E io, che riguardai, vidi una ’nsegna che girando correva tanto ratta, che d’ogne posa mi parea indegna"
"E dietro di essa veniva una fila di anime tanto lunga, che non avrei mai creduto che la morte ne avesse disfatte tante","E dietro le venìa sì lunga tratta di gente, ch’i’ non averei creduto che morte tanta n’avesse disfatta"
"Dopo che ebbi riconosciuto qualcuno di loro, vidi e riconobbi l'ombra di colui che per viltà fece il grande rifiuto","Poscia ch’io v’ebbi alcun riconosciuto, vidi e conobbi l’ombra di colui che fece per viltade il gran rifiuto"
Capii all'istante e fui certo che questa era la schiera dei vili che spiacevano tanto a dio quanto ai suoi nemici,"Incontanente intesi e certo fui che questa era la setta d’i cattivi, a dio spiacenti e a’ nemici sui"
"Questi sciagurati, che non vissero mai veramente, erano nudi e punti continuamente da mosconi e vespe tutt'intorno","Questi sciaurati, che mai non fur vivi, erano ignudi e stimolati molto da mosconi e da vespe ch’eran ivi"
"Esse facevano sanguinare il loro volto, che cadeva a terra frammisto a lacrime ed era raccolto da vermi ripugnanti","Elle rigavan lor di sangue il volto, che, mischiato di lagrime, a’ lor piedi da fastidiosi vermi era ricolto"
"E quando spinsi il suo sguardo oltre, vidi delle anime sulla sponda di un grande fiume","E poi ch’a riguardar oltre mi diedi, vidi genti a la riva d’un gran fiume"
Allora dissi:,Per ch’io dissi:
"Maestro, ora concedimi di sapere chi sono quelle anime, e quale istinto le fa sembrare così ansiose di passare dall'altra parte, proprio come mi sembra di vedere nella poca luce","Maestro, or mi concedi  ch’i’ sappia quali sono, e qual costume le fa di trapassar parer sì pronte, com’io discerno per lo fioco lume"
Ed egli mi rispose:,Ed elli a me:
Le cose ti saranno chiare quando noi giungeremo sulla triste sponda del fiume acheronte,Le cose ti fier conte quando noi fermerem li nostri passi su la trista riviera d’acheronte
"Allora, abbassando gli occhi con vergogna, nel timore che parlando potessi dargli fastidio, non pronunciai parola fino al fiume","Allor con li occhi vergognosi e bassi, temendo no ’l mio dir li fosse grave, infino al fiume del parlar mi trassi"
"Ed ecco che un vecchio, dal volto coperto da una barba bianca, veniva verso di noi su una barca, gridando:","Ed ecco verso noi venir per nave un vecchio, bianco per antico pelo, gridando:"
"Guai a voi, anime malvagie","Guai a voi, anime prave"
"Non sperate di poter mai vedere il cielo: io vengo per condurvi all'altra sponda, nelle tenebre eterne, tra le fiamme e il ghiaccio","Non isperate mai veder lo cielo: i’ vegno per menarvi a l’altra riva ne le tenebre etterne, in caldo e ’n gelo"
"E tu che sei lì, anima viva, allontànati da costoro che sono morti","E tu che se’ costì, anima viva, pàrtiti da cotesti che son morti"
"Ma poiché vide che io non me ne andavo, disse:","Ma poi che vide ch’io non mi partiva, disse:"
"Tu giungerai all'approdo per un'altra via, per altri porti, non certo qui per passare","Per altra via, per altri porti verrai a piaggia, non qui, per passare"
È stabilito che ti porterà una nave più leggera della mia,Più lieve legno convien che ti porti
E il maestro gli disse:,E ’l duca lui:
"Caronte, non ti angustiare: si vuole così lassù dove è possibile tutto ciò che si vuole, quindi non dire altro","Caron, non ti crucciare: vuolsi così colà dove si puote ciò che si vuole, e più non dimandare"
"Da lì in avanti si acquietarono le guance coperte di pelo del traghettatore di quella sozza palude, il quale aveva gli occhi circondati da ruote di fiamme","Quinci fuor quete le lanose gote al nocchier de la livida palude, che ’ntorno a li occhi avea di fiamme rote"
"Ma quelle anime, che erano nude e prostrate, cambiarono colore e batterono i denti, appena udirono le sue parole crude","Ma quell’anime, ch’eran lasse e nude, cangiar colore e dibattero i denti, ratto che ’nteser le parole crude"
"Bestemmiavano dio e i loro genitori, la specie umana, il luogo, il momento e il seme del loro concepimento e della loro nascita","Bestemmiavano dio e lor parenti, l’umana spezie e ’l loco e ’l tempo e ’l seme di lor semenza e di lor nascimenti"
"Poi si portarono tutte insieme, piangendo disperati, alla sponda del fiume infernale che attende ogni uomo che non teme dio","Poi si ritrasser tutte quante insieme, forte piangendo, a la riva malvagia ch’attende ciascun uom che dio non teme"
"Il demonio caronte, con gli occhi fiammeggianti come brace, facendo loro dei cenni le raccoglie tutte","Caron dimonio, con occhi di bragia, loro accennando, tutte le raccoglie"
Batte col suo remo qualunque di essi che si stenda,Batte col remo qualunque s’adagia
"Come d'autunno cadono le foglie, una dopo l'altra, finché il ramo vede a terra tutte le sue vesti, allo stesso modo la cattiva discendenza di adamo si getta da quella riva ad una ad una, rispondendo ai cenni di caronte, come un uccello risponde al richiamo","Come d’autunno si levan le foglie l’una appresso de l’altra, fin che ’l ramo vede a la terra tutte le sue spoglie,  similemente il mal seme d’adamo gittansi di quel lito ad una ad una, per cenni come augel per suo richiamo"
